Protein	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD4_CD34	HD5_CD34	HD6_CD34	HD1_Lin-	HD2_Lin-	HD3_Lin-
ABCB6	0	13482	0	0	0	0	0	0	0	0	0	4207	0	27260	0	0	0	0	2395	0	4296	0	0	0	0	0	0	0	0	12065	0	0	0	0	23208	0	0	53079	0	0	0	0	0	0	0	4683	13943	0	0	0
ABCB7	82152	5628	60800	0	43745	18412	0	119225	29443	81897	0	29025	91924	104774	49191	48956	63644	79669	47982	20771	16647	98568	54440	96490	76486	70375	64504	13301	58770	47130	148292	85886	55342	10482	162614	41834	94856	19438	44945	0	47766	74378	93101	0	57585	35614	40102	0	5075	11597
ABCB8	0	8361	14833	18748	5242	0	0	0	0	0	0	12234	2056	0	0	0	0	0	8756	0	6417	0	4926	0	0	6048	0	0	3274	11547	0	0	0	0	0	0	0	0	0	6896	0	8466	2894	0	0	0	0	0	0	0
ABCC1	26532	15147	196903	10654	203137	0	0	34333	9602	33449	0	311558	178157	50731	12065	33816	0	7230	88834	28480	33150	48894	53179	16596	0	165649	26870	77510	41850	71345	0	48205	0	17307	26268	74035	51311	0	41270	0	0	186141	22805	0	300355	335418	318549	123745	100587	246419
ABCC4	0	66550	0	0	0	0	171110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8774	0	0	0	33355	0	0	0
ABCD1	65700	96392	0	233516	28883	18541	29013	2369	0	23318	0	13674	0	34977	40611	8354	44328	25149	130754	0	29316	13394	71862	8908	0	26461	21504	0	2160	82883	144714	33043	157798	0	26182	92128	41753	3328	87255	56911	0	100806	0	0	0	0	0	47114	0	30066
ABCD3	387272	252133	126128	202028	144562	97240	96356	142579	228618	195280	83190	74705	97111	592862	128598	150169	142929	408533	98943	137486	129001	141092	166058	262845	145786	301304	197401	168940	163873	200353	263828	102167	170570	110579	469850	186085	110802	109314	179832	366373	145202	179950	255787	68482	13662	23691	0	95401	231317	210653
ABCE1	276363	472731	489409	280500	324866	143026	297440	364459	385985	364185	500675	560758	376875	426766	314426	457994	245353	373050	722126	521069	331169	517135	334870	223332	297053	518922	331079	558438	409899	283048	51623	267234	299300	325475	266091	356274	85192	475799	203062	143817	0	327997	357832	263947	936319	819172	683942	428303	601103	528940
ABCF1	138292	272644	184302	165418	226145	87997	178617	185762	102410	176724	227373	240545	211740	205938	146882	164813	106420	161972	449821	214023	171237	200939	237791	118608	194593	230627	180701	123983	160528	108633	94726	147071	168595	259307	160497	242272	91978	184794	211338	165292	23064	245590	131281	139399	529508	525782	436702	269400	224060	305655
ABCF2	88109	69851	11001	261388	34204	0	7349	98354	0	221408	29863	66568	33013	0	220754	56197	7936	28298	73360	0	39181	6149	55088	8605	7687	66730	39403	0	37232	0	0	78385	39134	190872	15065	31721	0	62268	23066	0	0	31590	23917	0	223248	116884	28468	11509	42059	151592
ABCF3	0	4687	6391	0	9743	0	0	0	8150	0	0	1674	0	0	0	0	0	0	14409	0	7420	0	12985	0	0	1238	4859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5508	0	0	19477	17939	0	0	8521	0
ABHD10	1121617	755108	1874015	509635	886732	957126	719880	1147400	2123313	1490158	1061948	1015768	1147135	1285088	1728373	929485	1257586	975727	706088	746003	735021	1457382	734582	1314289	1335470	1308239	1254633	1642277	1092465	1210659	1161996	1178271	1237669	838444	985841	635189	1725891	679871	660366	606126	2098920	1014154	1035359	1091697	936781	910363	1004791	956231	809333	864964
ABHD11	4815	63251	24460	132138	5539	72996	0	194427	10968	11399	57428	10389	176595	65562	28175	53419	92912	30760	6484	0	183146	1041	27130	0	34473	19415	0	0	15582	47410	164583	35028	17677	0	772020	41297	105009	7221	35134	0	114177	79940	27935	59530	0	0	0	0	0	8653
ABHD12	53684	38068	23714	57731	116666	41212	27076	41649	58661	129236	0	108564	95572	136852	58518	50534	97514	84941	92109	0	49586	40398	93956	87531	24872	30648	130838	60663	120153	146746	51001	38902	28413	10760	51681	91218	146756	7500	72345	74173	19658	118978	144808	0	24072	20163	12626	34405	10063	18513
ABHD14B	203779	1342555	519264	319663	227039	401679	681960	408267	284373	146116	666851	609216	630433	140929	198580	715322	396256	264871	572286	267131	402467	454169	483272	341332	490647	156187	301683	607048	238576	237422	345288	629337	301498	833201	158678	398096	0	350117	144568	561423	91822	466306	324475	723421	614531	601400	630631	631352	734593	499991
ABHD16A	178036	14492	14910	62465	56991	102685	82863	80403	10164	77962	0	25422	26973	220226	38585	58054	60447	80040	23472	0	24682	51913	48755	103097	44970	44184	42343	23933	69417	130169	122249	0	28332	65021	83289	74013	112027	20943	59857	20136	80462	69850	49159	24218	0	3599	32281	0	32690	20827
ABHD17B	9596	0	19384	18010	3927	70227	0	8055	28183	44038	0	88778	51777	0	21824	14147	0	46594	0	37375	102493	85680	41688	59309	15402	9393	61817	59771	97557	148636	23436	15528	0	181304	10063	0	45864	31539	0	8869	43723	23428	15488	0	0	0	0	0	0	0
ABHD6	31631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10311	0	0	19450	0	0	0	0	0	0	8207	8579	0	0	3609	0	15012	0	27159	0	0	0	6937	0	0	0	46938	0	0	0	0	0	0	0	0
ABI1	85087	118372	278920	33512	158953	45746	126681	101482	190481	157322	141826	228798	177805	113946	124121	152912	156688	113537	157633	387105	85469	92498	154722	105573	82254	81494	250286	174444	192139	150157	79163	220069	120735	218777	131407	208522	78940	181717	192312	140013	0	93237	300959	104882	224468	465357	609658	111957	187679	113693
ABI2	0	0	0	0	0	0	0	0	0	0	0	0	10410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16257	0	7758	0	0	0
ABI3	0	0	5780	0	0	0	0	0	0	0	0	6901	0	0	5258	0	0	0	0	9909	0	0	0	0	0	37582	0	0	0	0	0	0	0	0	12126	66330	9877	0	8428	0	0	0	0	0	0	0	0	0	0	0
ABLIM1	0	0	0	0	0	0	0	0	0	0	0	0	21375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25404	107153	0	0	0
ABLIM3	0	0	4798	0	0	0	0	0	0	0	0	0	7732	0	0	0	0	0	0	11557	0	0	0	0	0	4661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6135	0	0	0	0	14599	0	0	0
ABR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	1236168	1048742	2094212	1298809	1531390	470619	1068461	976966	1263742	1410833	596680	2441351	1420310	1798232	1062774	1308890	1221628	1058512	1254498	3517229	1023444	1026537	1586890	1034049	1498370	1370135	1501694	1751219	1041731	569899	955452	894420	741247	1252819	539173	1701867	65136	1655253	1437844	1018809	103585	2122970	934671	1043325	2984968	3105767	2923909	1834964	2520329	2194904
ABRAXAS1	10552	40789	13805	24019	31413	0	0	0	0	17405	0	21629	35782	0	17728	13126	0	0	85057	0	0	32396	15329	0	0	0	43307	46154	33284	29436	0	73232	33973	17008	0	41477	15601	0	0	0	0	3503	14273	92958	27967	33510	0	0	0	0
ABRAXAS2	49906	91278	83845	38461	79307	7313	55932	32972	59427	63879	24286	127187	68719	7276	52813	76424	34630	49602	136927	18833	77786	49062	90157	41761	50637	45892	61906	76076	79748	52845	13339	46633	30875	121502	41905	105127	25707	71080	48789	61469	0	75432	34267	15354	119059	67680	249935	29647	15086	0
ACAA1	306342	232237	291547	628579	186134	176022	239567	362027	488513	745549	146551	497179	346897	657500	419182	286309	518093	751012	253479	0	205776	277911	441551	507555	433804	578086	638936	134350	560270	506001	660191	115827	581728	131311	612517	399518	365079	403752	238947	514579	159023	295381	348729	433169	102478	162152	189097	317637	103494	444873
ACAA2	1789077	1356923	1570006	1268568	755344	2326190	1484747	1778359	3273614	1339856	1910570	1654606	838205	1786263	2627453	1226839	1523372	852034	1444316	1073874	1674535	1856300	1287860	1122419	1586467	1329948	1752522	1861561	1548857	1508425	2553018	2211119	2074162	2077213	2220406	1531642	1590059	1114741	1397043	2475322	2756080	523908	2085486	1841208	856632	1026525	792497	2151754	1597995	1903107
ACACA	52817	0	76402	0	88736	0	0	214713	38083	94929	0	75674	37913	0	47683	0	0	0	59482	33054	0	50594	30577	27524	0	100574	8662	6080	17703	72766	0	0	8002	0	24909	39974	84379	0	32258	0	0	128966	47163	0	5774	10428	14095	0	0	14432
ACAD10	0	0	14451	0	0	0	67094	0	6974	6326	0	1909	26257	0	2803	0	6784	2639	0	0	0	17802	1757	10852	5587	2402	15297	0	0	4625	5537	0	0	0	0	0	25993	0	0	0	0	5488	19273	0	0	0	0	0	0	0
ACAD8	11428	0	67958	0	4129	28146	0	81576	53261	11953	0	20121	75101	0	39475	5502	69405	0	9288	31866	23268	81967	0	55524	33710	37148	34899	0	33097	34501	79168	18079	0	77832	16645	0	77211	0	0	33176	46594	10076	43178	9087	10946	9913	42014	45810	0	0
ACAD9	350417	285854	218194	340978	253812	185444	122004	320842	172257	301918	471178	167125	188066	379402	201570	177822	307700	275908	256750	42304	313501	144873	155729	300339	256531	229423	248147	43880	224328	302774	276970	207107	389423	163960	245234	154678	388415	168047	208426	210287	395809	210833	173482	112214	481084	617953	293894	273129	230262	333627
ACADM	2167803	1259306	1268387	1255799	786968	1427948	1139595	2010469	938128	1206806	1098010	998301	1002785	1972206	1544999	1162017	1452779	984903	1079761	1938006	1071601	1255907	1090007	1559424	1341817	1271086	1269206	767061	1565779	1461690	2304589	1679307	1184230	1254061	1667660	582540	1946620	1087239	1264552	1547795	2253339	971041	1250284	932896	594430	275555	481103	1343174	1397791	1802293
ACADS	251276	316475	273550	287544	152287	443988	314489	353171	729629	625463	379968	345462	490972	563013	314730	372802	549830	232244	216878	665420	235272	395910	205995	558795	332583	330980	252485	131920	270158	743167	456631	1004098	340256	176946	646639	194699	602690	321193	105349	148795	413301	363605	337614	287360	260135	172907	202240	408981	195054	363103
ACADSB	85199	112589	153787	97384	72311	176145	6249	179530	117250	51594	134243	253160	195787	84496	226740	107728	82115	150819	135831	81573	151744	108343	106802	123189	120582	278629	78652	28802	178348	272783	75834	138083	300043	103811	225297	3611	488695	88080	29798	115299	215528	152157	152941	111269	67258	96475	135270	87539	29115	83804
ACADVL	1418751	1672566	1180023	2640284	1301366	3347929	1407435	1793342	1344455	1001177	1993206	826887	1516879	2278090	1104835	2198618	1535646	1436209	754862	1289581	1557009	1604746	1166956	1998516	1803320	1467588	1161481	763664	1612353	3094275	2953238	1941978	1833480	2282044	1983649	1124162	1196404	1271656	1682735	1673841	3018693	1703391	1620686	1063889	842821	723097	811902	1910134	1972220	1930697
ACAP1	35576	51579	209577	331362	183030	0	53937	115345	57624	113468	0	111486	88465	128189	41006	145793	10011	56930	312223	126673	24928	30027	145552	54179	55722	42761	113704	180715	166525	63638	16915	65903	0	146032	61399	1789654	104711	65418	61189	55420	0	69322	36725	7046	128692	58716	80399	325574	136674	82012
ACAP2	24961	118429	45235	22979	110100	0	70121	101240	36380	51265	16107	62797	33066	34784	25718	125531	51905	275295	34334	0	28308	41901	62871	50142	200465	64238	77258	58467	68653	77562	184360	47493	23471	3735	48433	118510	42431	150467	65256	152640	359286	68493	52952	0	34116	42722	57730	30619	71026	89494
ACAT1	1272160	1274747	679690	3642638	1364353	1745788	1914828	1642663	2178839	1854325	1718848	2000689	514094	2443796	2617454	2218860	1932721	1826495	1903155	3235049	1275440	1875666	1411718	1030289	1137684	1246439	1476807	1506862	3006780	2209910	2852150	2451700	2685179	1653986	1398123	1792878	3030405	1789263	2639653	1444955	1102990	1674231	2164261	371382	1067166	1008898	760728	2326425	1576790	3026766
ACAT2	13012	0	322548	129762	307143	0	284266	158298	153817	174948	31229	281260	158589	48791	153741	134048	164201	320171	178432	263688	80804	192536	198852	63903	144142	240487	180720	329032	123487	88104	26551	86846	38847	63226	66147	193165	5212	228285	150735	58768	0	141870	176156	158003	280273	438540	293170	77950	134982	152780
ACBD3	75249	144964	71549	111038	216570	41199	152622	99015	54705	103987	8285	114731	79737	32088	113405	104581	67336	57778	159956	78687	133429	47124	108079	70768	25250	64689	117686	86678	99530	90302	36986	50301	82852	133914	72521	110410	103169	111516	153974	90137	0	65966	100117	128187	220925	196441	192428	75028	114752	151260
ACBD5	0	0	14299	0	0	0	0	0	8403	0	0	0	6175	0	25878	0	6954	0	0	310156	0	0	0	0	0	30995	0	0	0	25178	0	0	0	0	9319	37859	10105	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	0	0	2581	247677	0	117133	0	226235	7308	0	0	3756	12108	0	562346	0	325120	5761	0	0	0	0	0	0	0	5888	0	0	0	0	0	0	0	0	0	0	10888	0	0	0	0	5083	0	0	0	0	0	0	0	0
ACIN1	975937	375667	437390	393455	421934	644918	357304	476498	635380	747030	547814	479810	613696	721942	431129	283969	704796	522775	399023	2490598	437815	497029	372245	424267	689447	404064	325195	367148	367441	371555	645772	622444	701242	494378	740154	296278	750502	445862	811694	413969	935801	500528	413543	1313133	668608	836596	494740	353382	371438	362120
ACLY	341927	666831	1203098	646524	1288826	441733	1470782	696537	861890	611855	1064764	952479	730793	845025	588286	1089372	632462	673118	546955	862317	297490	550289	1010113	699617	829791	709659	686904	1132502	779986	804685	846077	656965	601202	398984	614385	1208755	397671	1156778	900698	651792	117825	902845	773582	690302	602573	514280	535683	845602	1122516	940944
ACO1	178980	300556	19453	116418	153905	51965	0	47571	148613	21809	30492	99382	190961	129218	15292	100990	14129	148529	266979	301230	165011	178604	113521	32908	76328	56607	62855	320836	5519	103011	0	234880	9084	472316	54069	154899	4600	80049	36252	54888	0	55288	0	121570	204731	187302	286473	62138	35021	183748
ACO2	2874455	886931	2326000	1901111	1482452	790061	1136543	2121089	1413877	1364066	1750509	1299231	1768204	1617095	1968416	1367803	2237806	1627183	1380558	1354289	1524784	1618005	1194834	1790248	1956040	1864798	1543474	2158342	1874639	1888170	2656639	2613753	1515767	1209870	1833260	1744705	2755079	1245839	2415440	1407112	2463121	1699585	2113803	1356327	1414955	1557621	1457641	1689714	1259184	1674067
ACOT1	48883	36729	55099	0	0	0	0	49164	8637	22267	0	0	0	0	0	0	58241	0	0	0	8151	49177	0	18593	36834	1335	7659	31617	0	0	27854	123819	50380	13435	29843	0	0	0	0	16168	151267	100551	0	75973	0	0	0	0	0	0
ACOT13	438260	154121	165935	366066	212797	258969	272876	388247	497189	198531	325200	253437	233659	268797	428816	332470	371454	410651	239767	17507	297501	273056	168850	637603	470725	256835	285483	289775	229623	152243	642074	317435	410517	386441	295276	192119	267232	290045	175971	516019	1099357	217929	419337	612614	25058	31201	29070	214030	39283	181179
ACOT2	0	0	64583	0	0	0	0	0	3225	10760	0	38144	17426	0	0	0	0	0	3682	0	0	0	0	0	0	2323	0	9105	0	0	0	0	0	0	0	0	76368	0	0	0	0	4454	0	0	0	0	0	0	0	0
ACOT7	0	178322	27213	386860	64235	86940	90523	111008	61860	18046	0	49189	23504	228434	35727	125973	161468	84443	15076	317467	167051	103078	89988	0	80125	90913	32279	164166	108988	0	24104	38053	41285	38894	139860	59454	14266	177126	101813	100989	0	46398	312894	15191	204882	233767	228959	158583	56118	20117
ACOT8	8311	0	15663	72747	34110	0	0	25496	20592	63766	0	49038	10364	11958	55587	26817	10534	135324	12569	0	0	6779	60465	70451	13891	98187	28020	0	25804	57324	86833	0	46542	0	72035	49905	43257	11770	135627	0	0	71073	40284	11380	0	11316	0	0	0	0
ACOT9	0	0	9719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3607	0	0	0	0	0	0	0	0
ACOX1	59948	22751	52081	178947	145248	71331	109047	52789	97645	54138	0	55135	119434	222835	71263	98072	42745	105671	44558	0	73084	37126	62410	86107	34174	340588	52773	133811	95552	95393	198437	92213	86133	6910	216573	128576	309722	51579	190918	71270	61713	232265	190578	151041	22229	64629	179117	43691	0	0
ACOX3	92387	33063	112909	264952	153823	0	0	107019	33342	253654	0	137492	13012	13871	177665	7696	68117	535101	103707	55944	0	27352	122926	0	125940	63709	106236	99839	27905	134844	53267	17725	46633	0	76325	742780	50870	60890	146886	51673	0	69102	37290	14209	31953	57412	38317	0	0	71475
ACP1	381311	461261	291844	457503	214190	315583	580823	424887	194905	201345	438527	151693	138411	256521	223730	395905	312272	332061	503407	938030	344432	309676	304944	192699	399796	217054	340418	400195	296364	153520	261962	424012	289427	422238	246852	272001	0	445779	309191	268319	127390	220592	262932	580065	257843	437873	359865	342884	478573	211441
ACP2	46251	57828	0	0	0	0	0	4394	0	0	0	0	35971	72922	0	0	0	0	0	0	0	12029	34001	65660	0	0	3380	29430	2020	27580	55372	66240	0	0	50048	14698	9531	0	31464	0	0	4797	0	130549	5779	0	21826	38963	17735	0
ACP3	61953	35050	0	4655	42036	10596	59107	46224	169263	72528	0	60661	94043	134908	46215	69050	106423	158058	14280	0	0	11679	129042	149344	23199	78077	93258	0	47053	147100	172611	0	33775	0	105584	110227	8597	98025	195595	309374	33646	121285	17969	0	0	0	0	141199	168787	158235
ACP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	0	0	0	0	0	0	0	26812	0	0	0	0	0	0	0	0	8261	0	0	0	0	0	0	0	0	0	0	0
ACP6	0	24458	3733	0	0	0	103717	25887	14523	0	0	0	7703	0	6882	10930	0	19807	9047	0	0	49387	27932	12941	13459	17066	6335	7508	6002	73861	21998	21913	0	0	2744	20274	3373	0	36390	0	16824	27553	9209	0	37461	4410	46635	0	0	0
ACSF2	47494	59950	385110	221163	220252	67932	172165	238753	128092	194895	0	62234	240774	22227	227174	300445	236447	180947	295856	423744	76268	320391	87811	233741	75342	222918	235653	192456	316414	360415	234458	183802	161050	149707	102425	248175	242840	118710	194250	43285	130299	85797	249044	13235	88462	85270	164590	36394	0	53023
