gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD4_CD34	HD5_CD34	HD6_CD34	HD1_Lin-	HD2_Lin-	HD3_Lin-
AMPD2	113032	148317	167247	146075	100146	173306	0	144347	88504	52160	131208	82667	63375	27255	133740	154749	131123	54766	51189	98168	141374	89682	63923	22161	57264	36032	71541	226150	76127	35720	21729	48977	61775	188664	47403	126561	59088	170530	65650	116121	0	21485	61897	39179	137876	190882	304557	54681	98435	17992
