gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	HD4_CD34	HD5_CD34	HD6_CD34	HD1_Lin-	HD2_Lin-	HD3_Lin-
CDC5L	228311	287335	297571	349634	363080	397428	171608	397036	626006	479790	158609	358884	345771	542349	412664	255208	349285	281120	366543	213457	448458	519793	259000	358830	420352	342621	282742	426579	349286	338901	389789	401665	469401	252263	427055	256113	552925	296721	305417	336296	403080	286226	411525	557186	421378	429328	350794	336095	345226	240599
