gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	ND5	ND7	ND8
SARS2	-0.163	-0.114	0.774	-0.245	-0.205	0.133	-0.231	0.49	-0.056	0.004	0.332	-0.364	0.563	0.038	0.047	-0.091	-0.13	-0.123	0.013	-0.033	-0.033	0.187	-0.184	0.056	-0.004	-0.017	-0.246	0.27	-0.255	-0.21	0.2	-0.214	0.286	-0.28	0.066	-0.242	0.273	-0.3	-0.396	-0.133	0.906	-0.034	0.181	0.481	-0.409	-0.548	-0.234
