gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	ND5	ND7	ND8
FBXO30	-0.2	-0.332	-0.189	0.038	0.299	-0.106	0.412	-0.265	-0.054	0.157	0.445	0.094	-0.034	-0.171	0.036	-0.068	-0.054	0.1	0.634	0.247	-0.204	-0.104	0.13	0.051	-0.137	0.113	0.073	0.179	-0.098	-0.301	-0.126	-0.419	0.293	-0.177	0.21	0.372	0.287	-0.003	0.208	-0.065	-0.342	-0.095	0.22	-0.355	0.411	0.36	-0.112
