gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	ND5	ND7	ND8
MYB	0.14	0.181	-0.08	0.03	-0.307	0.789	-0.805	-0.354	0.161	0.046	-0.172	0.306	0.617	0.126	0.048	0.053	-0.428	0.295	0.479	-0.036	0.273	0.236	-0.275	-0.116	0.101	-0.351	-0.445	-0.056	0.213	-0.086	-0.739	-0.007	0.331	0.611	-0.049	-1.184	0.496	-0.189	-0.668	-0.506	0.667	-0.683	0.011	0.449	-0.149	0.008	-0.02
