gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	ND5	ND7	ND8
ASB9	NA	0.656	NA	0.015	0.269	NA	NA	-0.714	0.065	-0.154	NA	NA	-0.159	-0.502	-0.128	-0.202	-0.204	NA	0.454	1.811	-0.194	0.594	NA	NA	NA	NA	NA	-0.312	-0.119	NA	-0.627	0.25	-0.795	-0.028	0.084	0.494	NA	0.025	NA	0.232	-0.365	NA	-0.01	NA	0.271	0.249	0.29
