gene	100232	103342	113971	123804	146218	179016	186481	224143	237983	258135	263578	273919	303642	326772	332131	348685	400220	407992	410324	434640	478908	498463	507202	507696	570755	594368	595704	605322	617776	700717	730817	740266	750152	757199	809653	816067	849660	868231	907786	914247	933124	982009	987523	989176	ND5	ND7	ND8
BMS1	-0.04	-0.202	-0.111	-0.042	-0.151	0.315	-0.511	0.138	0.091	0.703	-0.056	0.47	0.167	-0.107	-0.014	-0.04	0.198	-0.179	0.101	-0.051	0.112	0.232	-0.359	0.52	0.259	0.467	0.177	-0.158	0.198	-0.042	-0.279	0.013	0.581	-0.096	0.095	-0.792	-0.221	-0.015	-0.557	-0.58	0.589	-0.111	0.246	0.076	-0.605	-0.848	-0.606
